GENE	HSQ	MODEL	MODELCV.R2	POP	VG
SIN3A	0.047207	top1	0.048	aa	0.005952
SNUPN	0.202454	enet	0.15	aa	0.078351
IMP3	0.010359	lasso	0.022	aa	0.003394
FBXO22	0.147174	top1	0.068	aa	0.034542
NRG4	0.064259	enet	0.012	aa	0.023829
C15orf27	0.119474	lasso	0.0067	aa	0.042282
ETFA	0.162175	enet	0.091	aa	0.042472
ISL2	0.062505	enet	0.019	aa	0.026684
SCAPER	0.101831	susie	0.089	aa	0.029513
PSTPIP1	0.071215	susie	0.048	aa	0.024403
TSPAN3	0.118747	blup	0.072	aa	0.049248
TBC1D2B	0.300869	enet	0.25	aa	0.095532
CIB2	0.185808	top1	0.066	aa	0.049358
IDH3A	0.102244	lasso	0.038	aa	0.014379
DNAJA4	0.077886	top1	0.0071	aa	0.058878
IREB2	0.238703	lasso	0.16	aa	0.035878
PSMA4	0.044122	blup	0.0062	aa	0.005405
ADAMTS7	0.12453	blup	0.024	aa	0.025871
CTSH	0.218751	enet	0.17	aa	0.072464
BCL2A1	0.372195	top1	0.3	aa	0.125884
ZFAND6	0.121535	blup	0.038	aa	0.025235
FAH	0.119179	blup	0.028	aa	0.05205
IL16	0.105584	blup	0.017	aa	0.036624
STARD5	0.195875	enet	0.12	aa	0.110838
EFTUD1	0.070129	lasso	0.052	aa	0.018208
GOLGA6L9	0.070406	blup	0.023	aa	0.028894
C15orf40	0.135889	lasso	0.13	aa	0.069319
BTBD1	0.280807	lasso	0.16	aa	0.054434
TM6SF1	0.143059	susie	0.052	aa	0.085782
HDGFRP3	0.254251	lasso	0.2	aa	0.134087
ADAMTSL3	0.115924	enet	0.08	aa	0.026768
ZNF592	0.059051	top1	0.03	aa	0.007498
AKAP13	0.249191	susie	0.2	aa	0.082882
AEN	0.175694	susie	0.11	aa	0.052081
AP3S2	0.268792	susie	0.23	aa	0.124873
ZNF774	0.094137	top1	0.042	aa	0.054654
IQGAP1	0.065836	enet	0.023	aa	0.016317
FES	0.161227	top1	0.085	aa	0.047444
MAN2A2	0.063672	lasso	0.002	aa	0.017522
HDDC3	0.189694	top1	0.093	aa	0.082664
VPS33B	0.231867	lasso	0.14	aa	0.057024
FAM174B	0.158288	enet	0.1	aa	0.078351
SYNM	0.089989	blup	0.029	aa	0.040126
TTC23	0.361074	enet	0.24	aa	0.250578
LRRC28	0.108025	blup	0.026	aa	0.032996
MEF2A	0.093563	blup	0.0075	aa	0.037259
LYSMD4	0.002076	lasso	0.048	aa	6.87e-4
LINS	0.078344	susie	0.045	aa	0.023225
CHSY1	0.119875	blup	0.018	aa	0.044803
SNRNP25	0.221356	enet	0.14	aa	0.073321
POLR3K	0.299296	enet	0.11	aa	0.165148
NPRL3	0.484139	enet	0.32	aa	0.141913
ITFG3	0.042185	lasso	0.0036	aa	0.009046
AXIN1	0.134581	enet	0.032	aa	0.017812
MRPL28	0.245231	lasso	0.14	aa	0.052922
TMEM8A	0.395015	susie	0.28	aa	0.132064
NME4	0.082001	susie	0.057	aa	0.022972
DECR2	0.157701	enet	0.083	aa	0.045898
C16orf13	0.156989	enet	0.13	aa	0.051832
JMJD8	0.201407	enet	0.13	aa	0.035403
LMF1	0.158941	lasso	0.095	aa	0.073345
GNPTG	0.016471	lasso	0.0071	aa	0.004601
CLCN7	0.04197	top1	0.0034	aa	0.013678
TELO2	0.096079	blup	0.013	aa	0.013762
TMEM204	0.183477	top1	0.14	aa	0.037531
MAPK8IP3	0.183976	blup	0.13	aa	0.030601
MRPS34	0.102188	blup	0.018	aa	0.016322
HAGH	0.18389	susie	0.11	aa	0.03897
FAHD1	0.034525	top1	0.019	aa	0.014376
RPS2	0.192769	top1	0.077	aa	0.047387
SYNGR3	0.094987	enet	0.043	aa	0.025023
RNPS1	0.076886	top1	0.081	aa	0.012016
ZG16B	0.055549	lasso	0.0069	aa	0.031268
FLYWCH2	0.130949	lasso	0.082	aa	0.042147
FLYWCH1	0.482953	enet	0.34	aa	0.167233
IL32	0.200685	enet	0.11	aa	0.101689
ZNF213	0.068264	top1	0.036	aa	0.011974
TIGD7	0.044193	lasso	0.017	aa	0.032922
OR2C1	0.048766	top1	0.0012	aa	0.037845
CLUAP1	0.283647	susie	0.22	aa	0.132378
NLRC3	0.011305	susie	0.0022	aa	0.002043
DNASE1	0.256023	enet	0.12	aa	0.095373
TRAP1	0.123873	blup	0.025	aa	0.016121
DNAJA3	0.032314	lasso	0.01	aa	0.004801
NMRAL1	0.447829	enet	0.53	aa	0.196918
MGRN1	0.223788	susie	0.19	aa	0.027002
ANKS3	0.107226	susie	0.091	aa	0.021828
ZNF500	0.09041	susie	0.0076	aa	0.032978
ROGDI	0.148848	blup	0.086	aa	0.054478
NAGPA	0.147778	enet	0.13	aa	0.039853
PMM2	0.314406	susie	0.19	aa	0.067714
CARHSP1	0.131516	susie	0.06	aa	0.025138
ATF7IP2	0.086293	lasso	0.048	aa	0.023914
TEKT5	0.062336	top1	0.077	aa	0.039249
CIITA	0.012652	top1	0.0069	aa	0.002582
DEXI	0.045752	top1	0.0035	aa	0.01553
LITAF	0.101686	lasso	0.09	aa	0.031533
RSL1D1	0.113045	susie	0.084	aa	0.01385
GSPT1	0.349743	susie	0.24	aa	0.049036
TNFRSF17	0.144478	top1	0.09	aa	0.033553
CPPED1	0.181519	susie	0.076	aa	0.088468
ERCC4	0.291489	enet	0.14	aa	0.063557
MKL2	0.205116	blup	0.1	aa	0.046284
NTAN1	0.004299	lasso	0.018	aa	0.001444
RRN3	0.290039	top1	0.24	aa	0.057049
NDE1	0.081845	blup	0.0079	aa	0.017563
MYH11	0.140257	susie	0.088	aa	0.055208
ABCC1	0.093711	top1	0.031	aa	0.024695
RPS15A	0.00334	top1	0.0036	aa	0.002149
COQ7	0.153534	susie	0.18	aa	0.057607
SYT17	0.189722	susie	0.16	aa	0.08521
GDE1	0.143397	enet	0.11	aa	0.03059
C16orf62	0.050317	susie	0.0047	aa	0.017488
THUMPD1	0.133458	lasso	0.11	aa	0.034751
LYRM1	0.130311	enet	0.048	aa	0.061289
TMEM159	0.261706	blup	0.17	aa	0.087133
RRN3P1	0.152031	blup	0.07	aa	0.064255
UQCRC2	0.04968	top1	0.012	aa	0.008041
COG7	0.433355	top1	0.35	aa	0.095298
GGA2	0.11655	enet	0.099	aa	0.037436
EARS2	0.104504	top1	0.07	aa	0.018615
DCTN5	0.42926	top1	0.3	aa	0.211493
PRKCB	0.265298	enet	0.16	aa	0.086616
SLC5A11	0.079313	top1	0.051	aa	0.011488
ARHGAP17	0.157138	blup	0.053	aa	0.037906
LCMT1	0.313187	susie	0.2	aa	0.111691
CCDC101	0.17127	lasso	0.07	aa	0.039333
TUFM	0.132164	top1	0.09	aa	0.023795
NFATC2IP	0.049909	blup	0.014	aa	0.010332
MVP	0.117355	top1	0.12	aa	0.014555
KCTD13	0.012922	lasso	0.0017	aa	0.00275
INO80E	0.012354	lasso	6.9e-4	aa	0.003499
PPP4C	0.322634	blup	0.22	aa	0.055752
TBX6	0.128128	enet	0.11	aa	0.035574
YPEL3	0.039379	lasso	0.021	aa	0.007338
MAPK3	0.101999	susie	0.045	aa	0.022415
TBC1D10B	0.069277	susie	0.028	aa	0.01
RNF40	0.061978	enet	0.019	aa	0.007415
STX4	0.155935	top1	0.15	aa	0.022495
PYCARD	0.017838	lasso	0.013	aa	0.003589
ITGAM	0.019488	lasso	-0.001	aa	0.008016
ITGAX	0.056658	susie	0.019	aa	0.016506
TGFB1I1	0.081277	enet	0.06	aa	0.032639
ZNF720	0.119392	susie	0.058	aa	0.024957
ZNF267	0.171227	susie	0.16	aa	0.024278
VPS35	0.01158	top1	7.7e-4	aa	0.002428
GPT2	0.047985	blup	0.0069	aa	0.014188
NETO2	0.033096	enet	0.023	aa	0.013267
ITFG1	0.103666	blup	0.056	aa	0.016551
PHKB	0.140982	top1	0.13	aa	0.024736
LONP2	0.256921	lasso	0.27	aa	0.055077
HEATR3	0.151736	enet	0.037	aa	0.021602
NKD1	0.113185	top1	0.044	aa	0.020234
SNX20	0.121652	enet	0.028	aa	0.031374
RBL2	0.251909	susie	0.13	aa	0.047323
AKTIP	0.052843	blup	0.0052	aa	0.032106
FTO	0.144689	top1	0.059	aa	0.057538
AMFR	0.146866	top1	0.063	aa	0.04858
OGFOD1	0.082203	enet	0.071	aa	0.01244
BBS2	0.628999	enet	0.55	aa	0.365384
SLC12A3	0.016348	lasso	0.013	aa	0.008686
HERPUD1	0.079816	lasso	0.025	aa	0.015669
CETP	0.124403	top1	0.06	aa	0.057581
NLRC5	0.076509	susie	0.01	aa	0.018706
RSPRY1	0.145333	enet	0.12	aa	0.023604
POLR2C	0.189703	top1	0.075	aa	0.068293
DOK4	0.247756	top1	0.18	aa	0.067624
CCDC102A	0.098059	enet	0.014	aa	0.019611
GPR114	0.093434	susie	0.015	aa	0.010278
CSNK2A2	0.136084	susie	0.09	aa	0.021964
CCDC113	0.05866	blup	0.0022	aa	0.024114
SETD6	0.133789	lasso	0.12	aa	0.048837
SLC38A7	0.075027	blup	0.018	aa	0.020029
GOT2	0.417136	enet	0.38	aa	0.09581
TK2	0.450223	enet	0.36	aa	0.18487
CMTM3	0.276571	enet	0.19	aa	0.119546
NAE1	0.391835	top1	0.52	aa	0.042743
CBFB	0.669382	enet	0.6	aa	0.192477
E2F4	0.185759	lasso	0.16	aa	0.020876
LRRC36	0.032941	top1	0.034	aa	0.014732
ATP6V0D1	0.273008	lasso	0.25	aa	0.040113
FAM65A	0.276882	blup	0.14	aa	0.080867
GFOD2	0.021974	susie	0.018	aa	0.005323
RANBP10	0.024029	enet	0.016	aa	0.005979
CENPT	0.099473	top1	0.045	aa	0.02935
EDC4	0.100074	blup	0.064	aa	0.010899
PSMB10	0.715651	enet	0.62	aa	0.446563
LCAT	0.071875	enet	0.041	aa	0.030177
SLC12A4	0.104567	top1	0.083	aa	0.018422
NFATC3	0.06455	top1	0.043	aa	0.018578
PLA2G15	0.025904	enet	0.0044	aa	0.008268
PRMT7	0.351018	enet	0.36	aa	0.089225
SMPD3	0.032801	susie	0.0087	aa	0.00863
ZFP90	0.42212	enet	0.4	aa	0.16445100000000001
CIRH1A	0.026442	lasso	0.014	aa	0.00256
SNTB2	0.099361	susie	0.083	aa	0.03326
COG8	0.046827	susie	0.031	aa	0.028723
TERF2	0.011934	top1	0.0089	aa	0.00209
NQO1	0.472409	susie	0.22	aa	0.359833
WWP2	0.115831	enet	0.082	aa	0.014763
EXOSC6	0.166989	enet	0.15	aa	0.052755
ST3GAL2	0.063443	enet	0.045	aa	0.014664
COG4	0.20903	susie	0.21	aa	0.066293
SF3B3	0.092597	susie	0.07	aa	0.010989
AP1G1	0.129612	top1	0.076	aa	0.01905
DHX38	0.106445	blup	0.058	aa	0.007714
PMFBP1	0.120801	enet	0.09	aa	0.059886
RFWD3	0.240145	susie	0.23	aa	0.032927
MLKL	0.281643	susie	0.18	aa	0.082829
WDR59	0.18232	enet	0.095	aa	0.044618
ZFP1	0.277163	enet	0.19	aa	0.138367
CFDP1	0.069932	lasso	0.023	aa	0.02053
ADAT1	0.369023	enet	0.23	aa	0.122513
TERF2IP	0.089402	top1	0.048	aa	0.024055
CNTNAP4	0.163312	susie	0.11	aa	0.069134
WWOX	0.288668	enet	0.098	aa	0.072237
CENPN	0.139688	blup	0.042	aa	0.011243
ATMIN	0.12474	susie	0.056	aa	0.035935
C16orf46	0.003888	top1	0.0025	aa	0.004145
PLCG2	0.338879	blup	0.12	aa	0.076635
SDR42E1	0.071609	enet	0.01	aa	0.056353
MPHOSPH6	0.228126	susie	0.14	aa	0.082476
HSBP1	0.061106	blup	0.0037	aa	0.015418
MBTPS1	0.023074	susie	0.076	aa	0.00375
HSDL1	0.219606	lasso	0.12	aa	0.1139
TAF1C	0.376803	susie	0.27	aa	0.066973
KLHL36	0.311163	enet	0.14	aa	0.108904
USP10	0.153515	enet	0.093	aa	0.024051
ZDHHC7	0.379583	susie	0.3	aa	0.095091
KIAA0513	0.047626	lasso	0.0041	aa	0.019834
GINS2	0.16838	lasso	0.089	aa	0.033898
IRF8	0.048624	top1	0.019	aa	0.01639
MTHFSD	0.242673	susie	0.11	aa	0.089873
FBXO31	0.143976	blup	0.018	aa	0.051565
KLHDC4	0.041835	enet	-4.3e-4	aa	0.015255
CYBA	0.176124	top1	0.14	aa	0.036038
MVD	0.231966	enet	0.1	aa	0.053324
RNF166	0.115939	blup	0.012	aa	0.038193
CDT1	0.094725	susie	0.063	aa	0.013477
APRT	0.741407	enet	0.66	aa	0.398722
GALNS	0.426212	blup	0.21	aa	0.158752
TRAPPC2L	0.173213	susie	0.091	aa	0.062512
ACSF3	0.379631	enet	0.28	aa	0.13346
ZNF778	0.310227	enet	0.22	aa	0.103626
SPG7	0.012185	lasso	-6.2e-4	aa	0.002127
CPNE7	0.103538	lasso	0.0052	aa	0.044511
CHMP1A	0.085688	blup	0.011	aa	0.015903
CDK10	0.363121	susie	0.21	aa	0.091299
ZNF276	0.02412	lasso	-0.0011	aa	0.00499
FANCA	0.41793400000000003	enet	0.32	aa	0.058311
TCF25	0.278321	enet	0.084	aa	0.053446
CENPBD1	0.329506	enet	0.21	aa	0.16906
DBNDD1	0.168186	blup	0.061	aa	0.066923
C17orf97	0.716194	susie	0.58	aa	0.64912
FAM57A	0.250059	susie	0.12	aa	0.057784
GEMIN4	0.067932	blup	0.002	aa	0.01152
GLOD4	0.102016	blup	0.025	aa	0.02613
NXN	0.096368	blup	0.0037	aa	0.024831
TIMM22	0.371597	enet	0.23	aa	0.126651
MYO1C	0.123486	blup	0.0069	aa	0.032502
WDR81	0.095944	blup	0.011	aa	0.011231
SMYD4	0.178899	top1	0.054	aa	0.075686
RPA1	0.404423	susie	0.3	aa	0.176883
SMG6	0.059788	blup	0.029	aa	0.013855
SRR	0.35876	enet	0.24	aa	0.166614
MNT	2.05e-4	top1	0.035	aa	1.69e-4
RAP1GAP2	0.082922	enet	0.02	aa	0.025669
OR3A2	0.055231	blup	0.0047	aa	0.04601
ASPA	0.079589	top1	0.045	aa	0.05968
TRPV3	0.044998	susie	0.0032	aa	0.015991
P2RX1	0.067182	top1	0.04	aa	0.028573
ATP2A3	0.173351	enet	0.082	aa	0.026006
ZZEF1	0.231409	blup	0.12	aa	0.032865
CYB5D2	0.351992	enet	0.17	aa	0.1643
UBE2G1	0.259386	enet	0.18	aa	0.05234
ARRB2	0.083716	top1	0.04	aa	0.019427
CHRNE	0.036829	lasso	0.0068	aa	0.008978
RNF167	0.20912	susie	0.092	aa	0.059269
ENO3	0.048909	blup	0.011	aa	0.015433
SPAG7	0.299685	susie	0.16	aa	0.100807
CAMTA2	0.225007	blup	0.11	aa	0.046337
KIF1C	0.169641	enet	0.066	aa	0.030612
ZFP3	0.129098	blup	0.05	aa	0.060724
ZNF232	0.240124	susie	0.17	aa	0.136049
RABEP1	0.169593	lasso	0.13	aa	0.031932
NUP88	0.302123	susie	0.36	aa	0.053202
RPAIN	0.277426	top1	0.14	aa	0.082356
C1QBP	0.11124	blup	0.027	aa	0.013384
MIS12	0.302446	enet	0.3	aa	0.102608
NLRP1	0.066046	blup	0.0062	aa	0.028891
KIAA0753	0.092175000000000007	blup	0.024	aa	0.016987
TXNDC17	0.322629	susie	0.14	aa	0.075999
XAF1	0.211321	enet	0.066	aa	0.082255
FBXO39	0.255772	lasso	0.16	aa	0.190695
EIF5A	0.245343	lasso	0.16	aa	0.065126
ACAP1	0.125493	enet	0.037	aa	0.025851
CHRNB1	0.084189	lasso	0.016	aa	0.038901
POLR2A	0.089082	top1	0.043	aa	0.013772
MPDU1	0.086423	top1	0.037	aa	0.015597
SAT2	0.144604	top1	0.08	aa	0.033562
CYB5D1	0.067556	top1	0.038	aa	0.024159
KCNAB3	0.156493	enet	0.07	aa	0.074313
CNTROB	0.036869	blup	0.0085	aa	0.007819
PER1	0.153308	enet	0.12	aa	0.033093
VAMP2	0.046254	blup	0.014	aa	0.024225
TMEM107	0.087834	blup	0.028	aa	0.042747
PFAS	0.346098	enet	0.32	aa	0.026561
NDEL1	0.092205	blup	0.038	aa	0.026021
MFSD6L	0.161718	enet	0.089	aa	0.08311
NTN1	0.180865	susie	0.071	aa	0.061516
STX8	0.538539	enet	0.3	aa	0.181703
MYH3	0.279185	susie	0.2	aa	0.094573
SCO1	0.119568	enet	0.074	aa	0.016449
MAP2K4	0.081161	blup	0.016	aa	0.015457
ELAC2	0.107581	enet	0.023	aa	0.017631
TEKT3	0.013206	susie	0.0048	aa	0.005219
TRIM16	0.122437	lasso	0.041	aa	0.0704
NCOR1	0.140779	blup	0.11	aa	0.014767
ZNF286A	0.036775	blup	-0.0021	aa	0.021944
TTC19	0.253858	enet	0.13	aa	0.120203
PIGL	0.265226	blup	0.16	aa	0.075798
CENPV	0.073985	blup	0.026	aa	0.015047
ZNF287	0.085673	susie	0.072	aa	0.041754
ZNF624	0.206909	lasso	0.19	aa	0.088629
TNFRSF13B	0.055444	blup	0.016	aa	0.011652
PLD6	0.086527	top1	0.052	aa	0.060881
COPS3	0.091354	top1	0.063	aa	0.008558
NT5M	0.255155	susie	0.14	aa	0.066936
ATPAF2	0.586619	susie	0.38	aa	0.311477
DRG2	0.122771	blup	0.056	aa	0.016444
FLII	0.083808	blup	0.044	aa	0.010225
TOP3A	0.401265	enet	0.22	aa	0.085729
SMCR8	0.044508	susie	0.024	aa	0.011675
SHMT1	0.462951	enet	0.37	aa	0.201869
CCDC144B	0.059294	blup	0.011	aa	0.048134
PRPSAP2	0.086131	enet	0.022	aa	0.030657
ALDH3A2	0.12672	top1	0.071	aa	0.053028
ULK2	0.04851	lasso	0.019	aa	0.041481
AKAP10	0.16894	susie	0.094	aa	0.032792
RNFT1	0.279736	lasso	0.13	aa	0.09546
DHRS7B	0.170123	lasso	0.12	aa	0.058933
MAP2K3	0.034999	top1	0.011	aa	0.007481
FAM27L	0.034628	top1	0.017	aa	0.024278
WSB1	0.066822	blup	0.011	aa	0.012224
TMEM97	0.053623	lasso	0.031	aa	0.014883
POLDIP2	0.171103	susie	0.077	aa	0.018918
SLC46A1	0.008971	top1	-3.1e-4	aa	0.003376
NEK8	0.069729	top1	0.055	aa	0.019652
ERAL1	0.071051	blup	0.0035	aa	0.011972
MYO18A	0.297413	susie	0.2	aa	0.07476
GIT1	0.158571	lasso	0.088	aa	0.046486
SLC6A4	0.095617	enet	0.029	aa	0.035946
BLMH	0.12855	enet	0.063	aa	0.033986
CPD	0.090332	enet	0.047	aa	0.037679
GOSR1	0.022885	blup	0.0012	aa	0.004398
CRLF3	0.159334	susie	0.11	aa	0.054304
SUZ12P	0.113608	blup	0.091	aa	0.022197
ATAD5	0.029646	lasso	0.0073	aa	0.001853
ADAP2	0.133191	blup	0.033	aa	0.074865
OMG	0.327232	top1	0.25	aa	0.220231
EVI2A	0.095062	susie	0.067	aa	0.021106
UTP6	0.25496	susie	0.19	aa	0.036617
RHOT1	0.242971	susie	0.19	aa	0.062013
CDK5R1	0.221863	enet	0.14	aa	0.073644
MYO1D	0.076236	enet	0.013	aa	0.038312
CCT6B	0.377235	lasso	0.31	aa	0.208405
LIG3	0.100329	enet	0.015	aa	0.019655
RFFL	0.198403	lasso	0.13	aa	0.05639
SLFN5	0.831664	enet	0.76	aa	0.49036
SLFN11	0.115403	blup	0.031	aa	0.07252
SLFN12	0.238171	lasso	0.14	aa	0.14662
SLFN13	0.207305	enet	0.068	aa	0.130713
LASP1	0.199415	blup	0.064	aa	0.039618
MED1	0.038261	susie	0.023	aa	0.00483
CDK12	0.013623	blup	-8.1e-4	aa	0.003202
STARD3	0.147365	lasso	0.12	aa	0.037178
PGAP3	0.186809	lasso	0.13	aa	0.054295
ZPBP2	0.145634	lasso	0.11	aa	0.122854
GSDMB	0.489304	top1	0.46	aa	0.229718
ORMDL3	0.519054	lasso	0.5	aa	0.182262
MED24	0.218387	enet	0.16	aa	0.033309
CASC3	0.169444	blup	0.079	aa	0.020214
RAPGEFL1	0.376405	enet	0.34	aa	0.129236
IGFBP4	0.108842	susie	0.04	aa	0.027676
SMARCE1	0.337204	enet	0.25	aa	0.067236
KRT10	0.222785	enet	0.11	aa	0.129597
TMEM99	0.153778	susie	0.044	aa	0.103338
FKBP10	0.150818	susie	0.1	aa	0.029298
DHX58	0.532312	top1	0.52	aa	0.278726
FAM134C	0.276664	enet	0.1	aa	0.06527
PLEKHH3	0.058438	blup	0.016	aa	0.011693
CNTNAP1	0.166478	enet	0.11	aa	0.054729
BECN1	0.130029	susie	0.11	aa	0.029916
IFI35	0.246977	top1	0.19	aa	0.069797
BRCA1	0.1115	susie	0.069	aa	0.010008
NBR2	0.291174	enet	0.48	aa	0.110345
NBR1	0.145091	blup	0.097	aa	0.021481
DHX8	0.019001	top1	0.011	aa	0.003075
G6PC3	0.045498	top1	0.0022	aa	0.006055
HDAC5	0.064318	susie	0.017	aa	0.018994
C17orf53	0.100263	enet	0.075	aa	0.012734
GJC1	0.175929	top1	0.11	aa	0.098355
EFTUD2	0.204525	susie	0.1	aa	0.018398
DCAKD	0.268079	enet	0.16	aa	0.085475
NMT1	0.238961	susie	0.2	aa	0.055959
ARHGAP27	0.027436	susie	0.0036	aa	0.005316
ARL17A	0.343309	susie	0.21	aa	0.247028
NSF	0.01221	top1	0.029	aa	0.004237
NPEPPS	0.05746	blup	0.0031	aa	0.010254
TBKBP1	0.154779	blup	0.11	aa	0.044541
MRPL10	0.246857	blup	0.083	aa	0.116888
LRRC46	0.153913	susie	0.12	aa	0.09153
SCRN2	0.0267	enet	0.037	aa	0.008133
PNPO	0.144196	enet	0.056	aa	0.049791
CDK5RAP3	0.095557	top1	0.051	aa	0.02582
CBX1	0.0815	blup	0.03	aa	0.035211
SNX11	0.098591	susie	0.13	aa	0.023249
SKAP1	0.311357	blup	0.2	aa	0.127389
HOXB2	0.052663	enet	0.022	aa	0.025206
HOXB3	0.029504	top1	0.004	aa	0.012341
CALCOCO2	0.11552	top1	0.04	aa	0.029859
ATP5G1	0.040714	enet	0.023	aa	0.010663
UBE2Z	0.129074	enet	0.13	aa	0.035481
GNGT2	0.169062	enet	0.063	aa	0.076949
ZNF652	0.088951	susie	0.048	aa	0.017518
FAM117A	0.113549	top1	0.093	aa	0.026064
ITGA3	0.171626	lasso	0.15	aa	0.032593
PDK2	0.169893	enet	0.085	aa	0.040333
MRPL27	0.163712	susie	0.14	aa	0.055993
EME1	0.246267	enet	0.12	aa	0.062304
LRRC59	0.091599	top1	0.013	aa	0.010814
RSAD1	0.146971	enet	0.08	aa	0.034118
MYCBPAP	0.171991	enet	0.14	aa	0.023864
SPATA20	0.798729	enet	0.61	aa	0.578195
ANKRD40	0.136716	susie	0.086	aa	0.028646
SPAG9	0.038985	enet	0.021	aa	0.008009
MBTD1	0.086599	enet	0.04	aa	0.016105
UTP18	0.082903	blup	0.027	aa	0.007137
COX11	0.127752	susie	0.06	aa	0.029741
STXBP4	0.247492	susie	0.14	aa	0.041876
MMD	0.17495	enet	0.13	aa	0.039096
DGKE	0.443097	enet	0.5	aa	0.168771
TRIM25	0.218369	lasso	0.18	aa	0.042309
AKAP1	0.156479	blup	0.019	aa	0.019875
DYNLL2	0.101992	enet	0.029	aa	0.029839
SUPT4H1	0.14318	enet	0.07	aa	0.022555
RNF43	0.020777	lasso	1.9e-4	aa	0.009639
MTMR4	0.074647	blup	0.038	aa	0.012916
RAD51C	0.351502	enet	0.41	aa	0.057887
PPM1E	0.001411	blup	0.003	aa	5.38e-4
TRIM37	0.238943	enet	0.17	aa	0.044798
SKA2	0.094909	blup	0.052	aa	0.016231
TUBD1	0.121339	top1	0.039	aa	0.029513
HEATR6	0.819758	susie	0.75	aa	0.636805
APPBP2	0.096405	enet	0.053	aa	0.01664
BRIP1	0.150344	susie	0.11	aa	0.015555
MED13	0.09285	enet	0.043	aa	0.015828
CCDC47	0.091044	blup	0.019	aa	0.021774
DDX42	0.129644	top1	0.11	aa	0.018584
FTSJ3	0.209458	susie	0.29	aa	0.023125
PSMC5	0.208652	top1	0.12	aa	0.03639
TEX2	0.115597	top1	0.094	aa	0.038591
DDX5	0.016163	top1	0.043	aa	0.002561
SMURF2	0.140384	enet	0.074	aa	0.040912
AMZ2P1	0.139692	susie	0.1	aa	0.075603
PITPNC1	0.095719	enet	0.029	aa	0.028169
BPTF	0.395267	lasso	0.31	aa	0.091459
KPNA2	0.136349	blup	0.049	aa	0.014906
AMZ2	0.19912	enet	0.13	aa	0.055094
ARSG	0.032773	lasso	0.008	aa	0.017221
WIPI1	0.246469	blup	0.078	aa	0.071995
ABCA6	0.113654	blup	0.018	aa	0.048937
ABCA10	0.236402	blup	0.097	aa	0.087732
ABCA5	0.226493	blup	0.089	aa	0.043703
KCNJ16	0.076043	enet	0.03	aa	0.038926
SLC39A11	0.056763	top1	0.0036	aa	0.025028
COG1	0.220125	enet	0.19	aa	0.054585
TTYH2	0.036456	lasso	-0.0021	aa	0.012193
CD300A	0.164949	top1	0.05	aa	0.023162
NAT9	0.074157	top1	0.048	aa	0.020034
FDXR	0.219848	susie	0.12	aa	0.062634
ICT1	0.659241	susie	0.58	aa	0.172261
KCTD2	0.093077	enet	0.036	aa	0.021867
SLC16A5	0.076508	enet	0.031	aa	0.020038
ARMC7	0.185678	top1	0.085	aa	0.062044
GGA3	0.16101	enet	0.11	aa	0.025044
MRPS7	0.716299	enet	0.63	aa	0.34866
SLC25A19	0.16804	enet	0.074	aa	0.027149
CASKIN2	0.181568	enet	0.12	aa	0.037407
TSEN54	0.115449	enet	0.043	aa	0.034327
MYO15B	0.140711	susie	0.085	aa	0.008488
RECQL5	0.114765	top1	0.048	aa	0.035274
UNC13D	0.087790000000000007	blup	0.01	aa	0.024948
TRIM47	0.057643	enet	0.046	aa	0.016559
EXOC7	0.315569	susie	0.19	aa	0.089356
PRPSAP1	0.103317	blup	0.023	aa	0.04657
UBE2O	0.225015	enet	0.16	aa	0.038049
RHBDF2	0.073389	top1	0.037	aa	0.014688
ST6GALNAC2	0.209039	enet	0.082	aa	0.082429
SRSF2	0.135362	top1	0.058	aa	0.017205
MFSD11	0.315483	enet	0.24	aa	0.110654
TMC6	0.0951	blup	0.0086	aa	0.021287
C17orf99	0.151089	enet	0.028	aa	0.077451
SYNGR2	0.160199	blup	0.027	aa	0.034451
TK1	0.112747	susie	0.039	aa	0.013792
BIRC5	0.275608	enet	0.2	aa	0.044956
PGS1	0.337157	lasso	0.18	aa	0.100586
USP36	0.106578	susie	0.073	aa	0.013775
TIMP2	0.050098	lasso	0.024	aa	0.018642
CANT1	0.224166	enet	0.11	aa	0.047801
ENGASE	0.315825	enet	0.18	aa	0.10375
ENPP7	0.046944	blup	0.001	aa	0.012061
GAA	0.520517	enet	0.32	aa	0.232516
SGSH	0.137501	blup	0.039	aa	0.041676
NPTX1	0.058049	blup	-3.5e-4	aa	0.020517
RPTOR	0.079185	enet	0.031	aa	0.010986
CHMP6	0.22727	enet	0.073	aa	0.123733
SLC38A10	0.112713	blup	0.025	aa	0.019047
ACTG1	0.242621	enet	0.14	aa	0.051716
FSCN2	0.071312	blup	0.019	aa	0.010545
C17orf70	0.222919	top1	0.13	aa	0.043091
NPLOC4	0.611958	susie	0.4	aa	0.301056
CCDC137	0.138276	top1	0.11	aa	0.044118
HGS	0.123649	blup	0.068	aa	0.021899
STRA13	0.136137	blup	0.026	aa	0.041806
DCXR	0.522478	susie	0.42	aa	0.277038
FASN	0.021621	blup	-0.0016	aa	0.003374
CSNK1D	0.278765	enet	0.16	aa	0.048253
HEXDC	0.13755	top1	0.16	aa	0.05889
C17orf62	0.355249	lasso	0.24	aa	0.055127
NARF	0.471815	enet	0.42	aa	0.210395
RAB40B	0.097658	lasso	0.031	aa	0.042858
