GENE	HSQ	MODEL	MODELCV.R2	POP	VG
OPN3	0.127454	top1	0.078	aa	0.066261
CEP170	0.001537	lasso	0.022	aa	2.23e-4
SDCCAG8	0.130447	blup	0.062	aa	0.018792
AKT3	0.126162	top1	0.079	aa	0.058904
ADSS	0.14956	enet	0.091	aa	0.030596
C1orf101	0.054429	top1	-0.0013	aa	0.022764
EFCAB2	0.205895	enet	0.14	aa	0.094848
SMYD3	0.29371	susie	0.088	aa	0.08594
SCCPDH	0.217588	top1	0.1	aa	0.087907
ZNF124	0.549892	enet	0.36	aa	0.222826
ZNF496	0.37105	enet	0.32	aa	0.149401
ZNF672	0.078477	top1	0.057	aa	0.018067
ZNF692	0.099166	blup	0.034	aa	0.017821
SH3YL1	0.201462	enet	0.16	aa	0.098803
ACP1	0.063729	susie	0.015	aa	0.010977
TMEM18	0.197692	enet	0.13	aa	0.085294
TSSC1	0.180713	enet	0.13	aa	0.052469
ADI1	0.151336	susie	0.11	aa	0.084521
MBOAT2	0.469389	enet	0.29	aa	0.330061
ITGB1BP1	0.049384	lasso	0.025	aa	0.016936
ADAM17	0.164902	enet	0.077	aa	0.036662
TAF1B	0.521402	enet	0.46	aa	0.123628
GRHL1	0.139744	susie	0.024	aa	0.062831
KLF11	0.348984	susie	0.19	aa	0.132146
CYS1	0.116492	top1	0.099	aa	0.023592
ATP6V1C2	0.092958	lasso	0.024	aa	0.036679
PQLC3	0.034686	blup	-3.9e-5	aa	0.013073
ROCK2	0.17061	enet	0.071	aa	0.041171
NBAS	0.039867	lasso	-0.0015	aa	0.005581
DDX1	0.436281	enet	0.41	aa	0.039337
SMC6	0.277802	blup	0.16	aa	0.040435
GEN1	0.162158	blup	0.038	aa	0.043833
SDC1	0.115939	blup	0.031	aa	0.067869
C2orf43	0.40711	susie	0.33	aa	0.066832
KLHL29	0.091494	enet	0.024	aa	0.03164
TP53I3	0.031698	enet	0.018	aa	0.015665
PFN4	0.152806	top1	0.067	aa	0.094416
NCOA1	0.120373	susie	0.07	aa	0.031656
ADCY3	0.148856	blup	0.061	aa	0.058502
POMC	0.19094	enet	0.17	aa	0.074558
DTNB	0.165859	blup	0.032	aa	0.067051
HADHA	0.160686	top1	0.084	aa	0.102653
HADHB	0.384393	susie	0.36	aa	0.131597
EPT1	0.136423	susie	0.053	aa	0.015838
TMEM214	0.100318	top1	0.037	aa	0.010945999999999999
KHK	0.078611	blup	0.031	aa	0.01299
SLC5A6	0.046476	susie	0.0052	aa	0.011158
CAD	0.066505	susie	0.011	aa	0.004772
GTF3C2	0.145707	blup	0.024	aa	0.015885
SNX17	0.12444	enet	0.08	aa	0.03823
NRBP1	0.098879	susie	0.059	aa	0.017509
IFT172	0.030853	susie	0.034	aa	0.013986
GPN1	0.396045	blup	0.29	aa	0.049922
SLC4A1AP	0.181299	lasso	0.2	aa	0.047384
PPP1CB	0.097516	blup	0.02	aa	0.021929
TRMT61B	0.241197	lasso	0.19	aa	0.05554
LCLAT1	0.498522	susie	0.43	aa	0.165602
GALNT14	0.094728	enet	0.078	aa	0.03664
EHD3	0.205401	lasso	0.14	aa	0.083876
SLC30A6	0.093675	enet	0.019	aa	0.014948
NLRC4	0.047581	top1	0.057	aa	0.024714
TTC27	0.476384	susie	0.23	aa	0.160164
LTBP1	0.071827	lasso	0.048	aa	0.038944
RASGRP3	0.311578	susie	0.21	aa	0.113903
FAM98A	0.151887	top1	0.08	aa	0.020656
FEZ2	0.176528	enet	0.1	aa	0.029277
STRN	0.108564	lasso	0.038	aa	0.033387
CEBPZ	0.237133	top1	0.23	aa	0.024652
PRKD3	0.228388	blup	0.052	aa	0.121224
QPCT	0.06449	lasso	0.059	aa	0.040504
ATL2	0.147325	blup	0.063	aa	0.026916
GALM	0.087334	enet	0.035	aa	0.026778
DHX57	0.325238	enet	0.31	aa	0.068117
MORN2	0.024341	lasso	0.0034	aa	0.011596
MAP4K3	0.094862	top1	0.063	aa	0.024844
THUMPD2	0.106064	top1	0.061	aa	0.011765
COX7A2L	0.218836	susie	0.22	aa	0.053611
MTA3	0.158465	lasso	0.08	aa	0.053519
OXER1	0.03453	susie	1.3e-4	aa	0.016861
ZFP36L2	0.092853	top1	0.037	aa	0.029005
THADA	0.138572	susie	0.06	aa	0.013031
PLEKHH2	0.151326	enet	0.048	aa	0.071546
DYNC2LI1	0.144227	blup	0.022	aa	0.038211
LRPPRC	0.46532	enet	0.29	aa	0.060074
PPM1B	0.091873	enet	0.048	aa	0.024244
PREPL	0.119823	enet	0.045	aa	0.019822
SRBD1	0.327109	enet	0.33	aa	0.047884
ATP6V1E2	0.386028	enet	0.3	aa	0.259552
PIGF	0.057733	lasso	0.0097	aa	0.0142
CRIPT	0.087825	blup	0.0048	aa	0.030947
MCFD2	0.341633	lasso	0.18	aa	0.221506
MSH2	0.380751	susie	0.2	aa	0.05562
MSH6	0.254626	lasso	0.15	aa	0.054439
CHAC2	0.03213	top1	-0.001	aa	0.004917
ACYP2	0.116877	top1	0.059	aa	0.064116
SPTBN1	0.050949	lasso	0.019	aa	0.015064
RTN4	0.055124	top1	0.027	aa	0.02153
MTIF2	0.546131	susie	0.34	aa	0.108493
CCDC88A	0.148801	enet	0.078	aa	0.052998
PNPT1	0.307259	lasso	0.33	aa	0.057967
FANCL	0.089749	top1	0.0075	aa	0.00982
PAPOLG	0.071062	blup	0.0038	aa	0.007915
PUS10	0.072508	blup	0.0087	aa	0.020081
PEX13	0.042857	lasso	0.0076	aa	0.020986
AHSA2	0.276153	susie	0.23	aa	0.057896
COMMD1	0.114446	enet	0.057	aa	0.024833
B3GNT2	0.002439	blup	8.9e-4	aa	4.58e-4
MDH1	0.134618	blup	0.07	aa	0.020336
PELI1	0.059553	blup	0.012	aa	0.017997
AFTPH	0.322227	lasso	0.3	aa	0.05274
SLC1A4	0.38507	susie	0.31	aa	0.158159
CEP68	0.244241	enet	0.2	aa	0.078985
ACTR2	0.063841	top1	0.049	aa	0.017689
SPRED2	0.443231	enet	0.32	aa	0.186621
ETAA1	0.074524	blup	0.02	aa	0.014339
PNO1	0.319991	enet	0.18	aa	0.05735
PLEK	0.077349	enet	-8.9e-4	aa	0.021529
APLF	0.031118	lasso	0.0018	aa	0.014352
ARHGAP25	0.103885	susie	0.0058	aa	0.050695
GFPT1	0.090517	lasso	0.055	aa	0.030242
NFU1	0.201952	enet	0.048	aa	0.08232
C2orf42	0.069986	lasso	0.02	aa	0.030208
PCYOX1	0.184401	enet	0.075	aa	0.06172
FAM136A	0.159208	susie	0.079	aa	0.095686
NAGK	0.25142	enet	0.17	aa	0.08844
MCEE	0.264306	susie	0.15	aa	0.103787
MPHOSPH10	0.22493	enet	0.12	aa	0.030249
ZNF638	0.037385	susie	6e-4	aa	0.002006
ALMS1	0.561231	susie	0.5	aa	0.162387
DUSP11	0.12495	blup	0.043	aa	0.050317
STAMBP	0.241697	enet	0.17	aa	0.050953
TET3	0.121675	enet	0.058	aa	0.015128
MTHFD2	0.162046	lasso	0.037	aa	0.032794
MOGS	0.038904	lasso	0.021	aa	0.005091
PCGF1	0.011909	top1	-0.0012	aa	0.003598
POLE4	0.47574	lasso	0.34	aa	0.248646
MRPL19	0.243444	lasso	0.15	aa	0.040576
CTNNA2	0.144899	susie	0.15	aa	0.054821
SUCLG1	0.21685	enet	0.18	aa	0.032785
TGOLN2	0.19867	enet	0.18	aa	0.033684
RETSAT	0.280809	enet	0.089	aa	0.157695
ELMOD3	0.181332	lasso	0.12	aa	0.078978
CAPG	0.073625	top1	0.065	aa	0.020527
GGCX	0.200089	enet	0.14	aa	0.070297
VAMP8	0.038637	lasso	0.0031	aa	0.017627
VAMP5	0.119139	susie	0.077	aa	0.066699
USP39	0.319621	susie	0.15	aa	0.061126
ST3GAL5	0.127037	susie	0.067	aa	0.069205
POLR1A	0.26765	blup	0.24	aa	0.020658
PTCD3	0.202796	susie	0.22	aa	0.021579
IMMT	0.3445	lasso	0.47	aa	0.067441
MRPL35	0.323468	enet	0.29	aa	0.098088
THNSL2	0.076293	top1	0.079	aa	0.016295
RPIA	0.333522	top1	0.36	aa	0.079012
ZNF514	0.237551	blup	0.087	aa	0.119522
CIAO1	0.067583	lasso	0.044	aa	0.023898
SNRNP200	0.128236	lasso	0.083	aa	0.014992
LMAN2L	0.072289	blup	0.011	aa	0.025626
ACTR1B	0.201802	susie	0.16	aa	0.030221
INPP4A	0.072599	top1	0.026	aa	0.029506
UNC50	0.102218	lasso	0.0032	aa	0.03689
TSGA10	0.303845	top1	0.34	aa	0.150718
MITD1	0.121451	susie	0.13	aa	0.020639
LYG1	0.160434	enet	0.15	aa	0.092679
EIF5B	0.129412	blup	0.087	aa	0.017522
REV1	0.387703	enet	0.28	aa	0.082353
AFF3	0.098876	top1	0.028	aa	0.033479
CHST10	0.120165	top1	0.07	aa	0.02977
RPL31	0.138139	susie	0.094	aa	0.038414
RNF149	0.199105	lasso	0.18	aa	0.051229
IL1R2	0.103959	blup	0.046	aa	0.030551
IL1R1	0.159545	enet	0.065	aa	0.05962
IL18R1	0.136983	blup	0.021	aa	0.034559
IL18RAP	0.100862	susie	0.031	aa	0.0388
SLC9A2	0.005459	susie	0.022	aa	0.003031
MRPS9	0.11935	lasso	0.081	aa	0.025913
TGFBRAP1	0.077171	blup	0.0088	aa	0.01325
NCK2	0.116666	top1	0.054	aa	0.024293
GCC2	0.181087	enet	0.19	aa	0.022206
LIMS1	0.111571	enet	0.0034	aa	0.031566
RANBP2	0.317335	enet	0.27	aa	0.041006
